"externalId","stationId","legacyId","name","capacity"
"a3b27bcf-a135-11e9-9cda-0a87ae2ba916","a3b27bcf-a135-11e9-9cda-0a87ae2ba916",,"Greenwood Ave & 79th St",11
"a3b4497a-a135-11e9-9cda-0a87ae2ba916","a3b4497a-a135-11e9-9cda-0a87ae2ba916",,"State St & 54th St",11
"a3ad5764-a135-11e9-9cda-0a87ae2ba916","a3ad5764-a135-11e9-9cda-0a87ae2ba916",,"Calumet Ave & 51st St",11
"a3aa54a0-a135-11e9-9cda-0a87ae2ba916","a3aa54a0-a135-11e9-9cda-0a87ae2ba916",,"Seeley Ave & Roscoe St",11
"a3b43478-a135-11e9-9cda-0a87ae2ba916","a3b43478-a135-11e9-9cda-0a87ae2ba916",,"Latrobe Ave & Chicago Ave",7
"a3ad0ecb-a135-11e9-9cda-0a87ae2ba916","a3ad0ecb-a135-11e9-9cda-0a87ae2ba916",,"Cottage Grove Ave & 71st St",11
"a3a6de38-a135-11e9-9cda-0a87ae2ba916","a3a6de38-a135-11e9-9cda-0a87ae2ba916",,"Claremont Ave & Hirsch St",11
"a3accb60-a135-11e9-9cda-0a87ae2ba916","a3accb60-a135-11e9-9cda-0a87ae2ba916",,"Princeton Ave & Garfield Blvd",11
"a3ad327e-a135-11e9-9cda-0a87ae2ba916","a3ad327e-a135-11e9-9cda-0a87ae2ba916",,"Union Ave & Root St",11
"a3ae8d13-a135-11e9-9cda-0a87ae2ba916","a3ae8d13-a135-11e9-9cda-0a87ae2ba916",,"Western Ave & Granville Ave",11
"a3acc649-a135-11e9-9cda-0a87ae2ba916","a3acc649-a135-11e9-9cda-0a87ae2ba916",,"Halsted St & 51st St",11
"a3b2a9e7-a135-11e9-9cda-0a87ae2ba916","a3b2a9e7-a135-11e9-9cda-0a87ae2ba916",,"Cottage Grove Ave & 83rd St",11
"a3b2c354-a135-11e9-9cda-0a87ae2ba916","a3b2c354-a135-11e9-9cda-0a87ae2ba916",,"Kilbourn Ave & Irving Park Rd",11
"a3b213af-a135-11e9-9cda-0a87ae2ba916","a3b213af-a135-11e9-9cda-0a87ae2ba916",,"Throop St & 52nd St",7
"a3b39bb0-a135-11e9-9cda-0a87ae2ba916","a3b39bb0-a135-11e9-9cda-0a87ae2ba916",,"Fairbanks St & Superior St",11
"a3b0e141-a135-11e9-9cda-0a87ae2ba916","a3b0e141-a135-11e9-9cda-0a87ae2ba916",,"Wolcott Ave & Fargo Ave",11
"a3b23263-a135-11e9-9cda-0a87ae2ba916","a3b23263-a135-11e9-9cda-0a87ae2ba916",,"Racine Ave & 61st St",11
"a3ad37c2-a135-11e9-9cda-0a87ae2ba916","a3ad37c2-a135-11e9-9cda-0a87ae2ba916",,"Shields Ave & 43rd St",11
"a3a9984a-a135-11e9-9cda-0a87ae2ba916","a3a9984a-a135-11e9-9cda-0a87ae2ba916",,"Indiana Ave & 31st St",11
